COD_ABI;BANCA
05786;BANCA POPOLARE DI CALABRIA
05787;BANCAPULIA S.P.A. C.O. C.P.E.
05792;BANCA POPOLARE VALCONCA
05824;CASSA DI SOVVENZIONI E RISPARMIO FRA IL
05856;BANCA POPOLARE DELL'ALTO ADIGE
06005;SICILCASSA SPA
06010;CASSA DEI RISPARMI DI FORLI' E  DELLA RO
06020;CARIPRATO - FUS BANCA POP DI VICENZA
06030;CASSA DI RISPARMIO DELLA SPEZIA
06035;CASSAMARCA SPA
06040;CARISPAQ - CR.DELLA PROV. DELL' AQUILA S
06045;CASSA DI RISPARMIO DI BOLZANO SPA  - DIR
06050;NUOVA CASSA DI RISPARMIO DI CHIETI S.P.A
06055;NUOVA BANCA DELLE MARCHE S.P.A.
06060;TERCAS - CASSA DI RISPARMIO DELLA PROVIN
06065;C.R. DELLA PROV. DI VITERBO S.P .S FUS.
06067;CASSA DI RISPARMIO DELLA REPUBBLICA DI S
06070;CARIPLO SPA - CASSA DI RISPARMIODELLE PR
06075;C.R.DI ALESSANDRIA S.P.A. FUS.  BANCA PO
06080;CASSA DI RISPARMIO DI ASCOLI PICENO SPA
06085;CASSA DI RISPARMIO DI ASTI SPA
06090;BIVERBANCA S.P.A.
06095;CASSA DI RISPARMIO DI BRA SPA
06105;CASSA RISPARMIO CARPI S.P.A. C/RETTIFICH
06110;CASSA DI RISPARMIO DI CARRARA SPA FUS. B
06115;CASSA DI RISPARMIO DI CENTO S.P.A.
06120;CASSA DI RISPARMIO DI CESENA SPA
06125;CR DI CITTA' DI CASTELLO SPA FUS. CR DI
06130;C.R. DI CIVITAVECCHIA SPA FUS.  INTESA S
06140;CR.DI FABRIANO E CUPROMONTANA S.P.A. FUS
06145;CASSA DI RISPARMIO DI FANO SPA
06150;CASSA DI RISPARMIO DI FERMO SPA
06155;NUOVA CASSA DI RISPARMIO DI FERRARA S.P.
06160;CASSA DI RISPARMIO DI FIRENZE SPA
06165;CASSA DI RISPARMIO DI FOLIGNO SPA
06170;CASSA DI RISPARMIO DI FOSSANO SPA
06175;BANCA CARIGE S.P.A. - CASSA DI  RISPARMI
06195;CARILO - CASSA DI RISPARMIO DI  LORETO S
06205;BANCA DI ROMAGNA S.P.A. FUS IN  CASSA DI
06220;CASSA DI RISPARMIO DI ORVIETO SPA
06225;CASSA DI RISPARMIO DEL VENETO
06230;CASSA DI RISPARMIO DI PARMA E PIACENZA
06235;BANCA DELL'UMBRIA 1462 S.P.A. C/RETTIFIC
06245;BANCA CARIPE S.P.A.
06255;CASSA DI RISPARMIO DI PISA SPA(INCORP. 6
06260;CASSA DI RISPARMIO DI PISTOIA E DELLA LU
06270;CASSA DI RISPARMIO DI RAVENNA S.P.A. C/O
06275;CASSA DI RISPARMIO DI REGGIO EMILIA SPA
06280;CASSA DI RISPARMIO DI RIETI SPA
06285;BANCA CARIM - CASSA DI RISPARMI O DI RIM
06295;CASSA DI RISPARMIO DI SALUZZO SPA
06300;CASSA DI RISPARMIO DI SAN MINIATO SPA
06305;BANCA CASSA DI RISPARMIO DI SAVIGLIANO S
06310;CASSA DI RISPARMIO DI SAVONA SPA FUS.BAN
06315;CASSE DI RISPARMIO DELL'UMBRIA
06320;BANCA CRT - CASSA DI RISPARMIO  DI TORIN
06325;BANCA CASSA DI RISPARMIO DI TORTONA S.P.
06330;UNICREDIT BANCA SPA - DIREZIONE REGIONAL
06335;CASSA DI RISPARMIO DI TRIESTE - BANCA SP
06340;CASSA DI RISPARMIO DEL FRIULI VENEZIA GI
06345;CASSA DI RISPARMIO DI VENEZIA SPA
